processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,2.0,36.0,72,64,272,46.9,2015.0,intel,0.65,3.78,1.3,7.56,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,2.0,36.0,72,64,273,48.1,2015.0,intel,0.67,3.79,1.34,7.58,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,2.0,36.0,72,64,287,51.2,2015.0,intel,0.71,3.99,1.42,7.97,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,4.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,8.0,144.0,288,256,"1,229",210,2015.0,intel,0.73,4.27,1.46,8.53,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,4.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,8.0,144.0,288,256,"1,256",228,2015.0,intel,0.79,4.36,1.58,8.72,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3,2300.0,2.0,36.0,72,64,271,39,2014.0,intel,0.54,3.76,1.08,7.53,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,4.0,Intel Xeon E5-2699 v3,2300.0,8.0,144.0,288,256,"1,152",171,2014.0,intel,0.59,4.0,1.19,8.0,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3,2300.0,2.0,36.0,72,64,289,47.3,2015.0,intel,0.66,4.01,1.31,8.03,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3,2300.0,2.0,36.0,72,64,264,40,2015.0,intel,0.56,3.67,1.11,7.33,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3,2300.0,2.0,36.0,72,64,267,40.1,2015.0,intel,0.56,3.71,1.11,7.42,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,2.0,36.0,72,64,276,45,2016.0,intel,0.63,3.83,1.25,7.67,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3,2300.0,2.0,36.0,72,64,266,44.8,2015.0,intel,0.62,3.69,1.24,7.39,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,2.0,36.0,72,64,272,49.6,2014.0,intel,0.69,3.78,1.38,7.56,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3 2.30 GHz,2300.0,2.0,36.0,72,128,264,52.5,2015.0,intel,0.73,3.67,1.46,7.33,2.0
Xeon E5-2699 v3,,xeon,, e5-2699,, v3,1.0,Intel Xeon E5-2699 v3,2300.0,2.0,36.0,72,32,302,75.9,2015.0,intel,1.05,4.19,2.11,8.39,2.0
Xeon E5-4669 v3,,xeon,, e5-4669,, v3,1.0,Intel Xeon E5-4669 v3 2.10 GHz,2100.0,4.0,72.0,144,64,557,86.3,2016.0,intel,0.6,3.87,1.2,7.74,2.0
