processor_x,company_x,brand,make,model,moniker,version,Nodes,processor_y,MHz,Chips,Cores,Total Threads,Total Memory (GB),avg. watts @ 100%,avg. watts @ active idle,launch_date,company_y,watts per thread idle,watts per thread max,watts per core idle,watts per core max,threads per core
Xeon E5-2683 v4,,xeon,, e5-2683,, v4,8.0,Intel Xeon E5-2683 V4,2100.0,16.0,256.0,512,4096,"3,868","1,080",2016.0,intel,2.11,7.55,4.22,15.11,2.0
Xeon E5-2683 v4,,xeon,, e5-2683,, v4,10.0,Intel Xeon E5-2683 V4,2100.0,20.0,320.0,640,5120,"4,425","1,250",2016.0,intel,1.95,6.91,3.91,13.83,2.0
Xeon E5-2698 v4,,xeon,, e5-2698,, v4,1.0,Intel Xeon E5-2698 V4,2200.0,2.0,40.0,80,64,329,43.5,2016.0,intel,0.54,4.11,1.09,8.22,2.0
Xeon E5-2698 v4,,xeon,, e5-2698,, v4,4.0,Intel Xeon E5-2698 V4,2200.0,8.0,160.0,320,256,"1,419",217,2016.0,intel,0.68,4.43,1.36,8.87,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4 2.20 GHz,2200.0,2.0,44.0,88,128,269,44.9,2016.0,intel,0.51,3.06,1.02,6.11,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,16.0,Intel Xeon E5-2699 v4 2.20 GHz,2200.0,32.0,704.0,1408,2048,"4,918",878,2016.0,intel,0.62,3.49,1.25,6.99,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4 2.20 GHz,2200.0,2.0,44.0,88,128,279,46.7,2016.0,intel,0.53,3.17,1.06,6.34,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4 2.20 GHz,2200.0,2.0,44.0,88,128,272,44.6,2016.0,intel,0.51,3.09,1.01,6.18,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,64,243,41.7,2016.0,intel,0.47,2.76,0.95,5.52,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,64,241,41.8,2016.0,intel,0.47,2.74,0.95,5.48,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,64,255,43.6,2016.0,intel,0.5,2.9,0.99,5.8,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,64,266,49.6,2016.0,intel,0.56,3.02,1.13,6.05,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,64,252,40.1,2016.0,intel,0.46,2.86,0.91,5.73,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,4.0,Intel Xeon E5-2699 v4,2200.0,8.0,176.0,352,256,"1,322",232,2017.0,intel,0.66,3.76,1.32,7.51,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,128,245,45.7,2017.0,intel,0.52,2.78,1.04,5.57,2.0
Xeon E5-2699 v4,,xeon,, e5-2699,, v4,1.0,Intel Xeon E5-2699 v4,2200.0,2.0,44.0,88,64,247,46.6,2016.0,intel,0.53,2.81,1.06,5.61,2.0
Xeon E5-4669 v4,,xeon,, e5-4669,, v4,1.0,Intel Xeon E5-4669 v4 2.20 GHz,2200.0,4.0,88.0,176,256,562,86.4,2016.0,intel,0.49,3.19,0.98,6.39,2.0
